File ID;Song; Artist_s;Year;Genre
Song_1_2013;Thrift Shop;Macklemore & Ryan Lewis featuring Wanz;2013;Hip Hop
Song_2_2013;Blurred Lines;Robin Thicke featuring T.I. and Pharrell Williams;2013;R&B/Pop
Song_3_2013;Radioactive;Imagine Dragons;2013;Rock
Song_4_2013;Can't Hold Us;Macklemore & Ryan Lewis featuring Ray Dalton;2013;Hip Hop
Song_5_2013;Mirrors;Justin Timberlake;2013;Pop
Song_6_2013;Just Give Me A Reason;Pink featuring Nate Ruess;2013;Pop
Song_7_2013;When I Was Your Man;Bruno Mars;2013;Pop
Song_8_2013;Cruise;Florida Georgia Line featuring Nelly;2013;Country
Song_9_2013;Roar;Katy Perry;2013;Pop
Song_10_2013;Locked Out of Heaven;Bruno Mars;2013;Pop
Song_11_2023;Flowers;Miley Cyrus;2023;Pop
Song_12_2023;Calm Down;Rema & Selena Gomez;2023;Afrobeat/Pop
Song_13_2023;Kill Bill;SZA;2023;R&B
Song_14_2023;Anti-Hero;Taylor Swift;2023;Pop
Song_15_2023;Die For You;The Weeknd & Ariana Grande;2023;R&B/Pop
Song_16_2023;As It Was;Harry Styles;2023;Pop
Song_17_2023;Unholy;Sam Smith & Kim Petras;2023;Pop
Song_18_2023;I'm Good (Blue);David Guetta & Bebe Rexha;2023;Dance/Pop
Song_19_2023;Creepin;Metro Boomin & The Weeknd & 21 Savage;2023;Hip Hop/R&B
Song_20_2023;Last Night;Morgan Wallen;2023;Country